name,platform,developer,store_url,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported,notes
Character.AI,Cross-platform,Character Technologies Inc.,https://apps.apple.com/app/character-ai/id1643702073,companion,True,https://character.ai,True,"email/password, Google, Apple",True,self-declaration,False,False,"Priority access, faster responses, character creation tools",$9.99/month,en,Leading AI companion platform with user-created characters
Replika,Cross-platform,Luka Inc.,https://apps.apple.com/app/replika/id1158555867,companion,True,https://replika.com,True,"email/password, Google, Apple, Facebook",True,self-declaration,True,False,"Romantic partner mode, voice calls, AR, activities",$19.99/month,"en, es, de, fr, it, pt, ja",AI companion focused on emotional support and friendship
Chai,Cross-platform,Chai Research Corp.,https://apps.apple.com/app/chai-chat-with-ai-bots/id1544750895,companion,True,https://chai-research.com,True,"email/password, Google",False,,True,False,"Unlimited messages, premium bots, no ads",$13.99/month,en,Platform for chatting with community-created AI characters
Crushon.AI,Web,CrushOn AI,,companion,True,https://crushon.ai,True,"email/password, Google, Discord",True,self-declaration,True,False,"Unlimited messages, NSFW content, priority queue",$9.99/month,en,AI character chat platform with fewer content restrictions
JanitorAI,Web,JanitorAI,,companion,True,https://janitorai.com,True,"email/password, Google, Discord",True,self-declaration,False,True,,,en,Free AI character chat platform with community characters
Kindroid,Cross-platform,Kindroid,,companion,True,https://kindroid.ai,True,"email/password, Google",True,self-declaration,True,False,"Unlimited messages, selfies, voice calls, backstory",$14.99/month,en,AI companion with selfie generation and voice features
Nomi.AI,Web,Nomi AI,,companion,True,https://nomi.ai,True,"email/password, Google",False,,True,False,"Unlimited messages, group chats, voice notes",$16.99/month,en,AI companions with memory and relationship building
Talkie,Cross-platform,Talkie AI,,companion,True,https://talkie-ai.com,True,"email/password, Google, Apple",False,,True,False,"Unlimited chats, premium characters, no ads",$9.99/month,"en, ja, ko",AI character platform popular in Asian markets
ChatGPT,Cross-platform,OpenAI,https://apps.apple.com/app/chatgpt/id6448311069,general_purpose,True,https://chat.openai.com,True,"email/password, Google, Apple, Microsoft",False,,False,False,"GPT-4, DALL-E, Advanced Data Analysis",$20.00/month,"en, es, fr, de, it, pt, ja, ko, zh, ar, hi",General-purpose LLM - NOT an AI companion app
Claude,Cross-platform,Anthropic,https://apps.apple.com/app/claude/id6473753684,general_purpose,True,https://claude.ai,True,"email/password, Google",False,,False,False,"Claude Pro, longer context, priority access",$20.00/month,"en, es, fr, de, ja",General-purpose LLM - NOT an AI companion app
Gemini,Cross-platform,Google,https://apps.apple.com/app/google-gemini/id6477141462,general_purpose,True,https://gemini.google.com,True,Google,False,,False,False,"Gemini Advanced, 1M context",$19.99/month,"en, es, fr, de, it, pt, ja, ko, zh",General-purpose LLM - NOT an AI companion app
Romantic AI,Cross-platform,Romantic AI,,companion,True,https://romanticai.com,True,"email/password, Google, Apple",True,self-declaration,True,False,"Unlimited messages, voice messages, photo exchange",$11.99/month,en,AI companion focused on romantic relationships
EVA AI,Cross-platform,EVA AI Ltd.,https://apps.apple.com/app/eva-ai-chat-bot-soulmate/id1535512572,companion,False,,True,"email/password, Apple, Google",True,self-declaration,True,False,"Unlimited chat, voice calls, photo exchange",$19.99/month,"en, es, de, fr, pt",Mobile-only AI companion with virtual dating focus
iGirl,iOS,iGirl,,companion,False,,True,"Apple, email/password",True,self-declaration,True,False,"Unlimited chat, custom personality, photo requests",$9.99/month,en,iOS-only AI girlfriend companion
Paradot,Cross-platform,Paradot AI,,mixed,True,https://paradot.ai,True,"email/password, Google",False,,True,False,"Unlimited messages, advanced memory, custom avatar",$12.99/month,en,AI being platform with companion and productivity features
